FileName,ALGAE,Acr,Acr_Br,Anem,CCA,Ech,Fts,Gal,Gon,Mtp,P,Poc,Por,R,RDC,S,SG,Sarg,Ser,Slt,Sp,Turf,UNK
Salary_T15_DSCN8051_19.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toliara_T39_20241701_GRT_transect39_104_13.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Salary_T24_DSCN9828_13.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toliara_T32_20241901_GRT_transect32_156_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toliara_T11_DSCN1149_7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Salary_T9_DSCN1360_13.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Salary_T8_DSCN1268_5.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toliara_T30_20241901_GRT_transect30_40_8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toliara_T4_DSCN0258_16.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toliara_T17_DSCN2584_9.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
